Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas1        Pavarde1       9     	8     	10    	9     	8     	2     	6     	8     	9     	5     	8     	6     	4     	2     	7     	6     	
Vardas2        Pavarde2       1     	2     	8     	2     	8     	9     	6     	1     	1     	2     	4     	6     	8     	1     	6     	7     	
Vardas3        Pavarde3       3     	9     	9     	7     	10    	7     	1     	10    	3     	7     	1     	8     	5     	5     	9     	5     	
Vardas4        Pavarde4       9     	9     	6     	2     	6     	5     	5     	3     	2     	4     	3     	1     	9     	3     	1     	6     	
Vardas5        Pavarde5       10    	7     	9     	1     	1     	9     	3     	3     	5     	4     	6     	7     	10    	6     	9     	5     	
Vardas6        Pavarde6       6     	5     	7     	6     	5     	3     	9     	6     	5     	7     	3     	4     	4     	7     	9     	7     	
Vardas7        Pavarde7       4     	10    	10    	5     	9     	6     	10    	6     	1     	9     	2     	5     	6     	2     	2     	2     	
Vardas8        Pavarde8       2     	10    	8     	9     	8     	10    	3     	9     	2     	6     	1     	5     	3     	3     	2     	3     	
Vardas9        Pavarde9       1     	9     	8     	1     	8     	6     	9     	5     	4     	10    	1     	9     	10    	9     	4     	4     	
Vardas10       Pavarde10      2     	7     	8     	2     	6     	5     	2     	7     	1     	5     	1     	6     	5     	5     	4     	8     	
Vardas11       Pavarde11      8     	1     	3     	1     	4     	7     	7     	7     	3     	2     	5     	10    	8     	5     	8     	3     	
Vardas12       Pavarde12      8     	9     	2     	2     	5     	1     	1     	9     	8     	2     	7     	1     	6     	5     	4     	10    	
Vardas13       Pavarde13      9     	6     	9     	1     	6     	7     	3     	4     	7     	6     	7     	8     	7     	8     	9     	5     	
Vardas14       Pavarde14      9     	6     	3     	7     	9     	4     	8     	4     	6     	6     	5     	1     	2     	8     	9     	10    	
Vardas15       Pavarde15      2     	10    	5     	7     	2     	10    	8     	4     	3     	3     	2     	1     	7     	3     	7     	10    	
Vardas16       Pavarde16      9     	5     	1     	7     	10    	10    	9     	5     	7     	7     	10    	7     	5     	4     	8     	9     	
Vardas17       Pavarde17      1     	3     	3     	8     	6     	1     	5     	1     	7     	7     	9     	4     	8     	10    	5     	8     	
Vardas18       Pavarde18      3     	1     	4     	10    	6     	2     	7     	6     	8     	6     	2     	3     	9     	8     	7     	5     	
Vardas19       Pavarde19      7     	3     	8     	2     	1     	7     	8     	5     	9     	4     	10    	1     	1     	10    	3     	8     	
Vardas20       Pavarde20      4     	5     	1     	10    	6     	1     	8     	2     	2     	3     	2     	10    	6     	5     	7     	2     	
Vardas21       Pavarde21      6     	1     	5     	1     	10    	2     	10    	7     	10    	8     	10    	1     	1     	6     	2     	9     	
Vardas22       Pavarde22      4     	6     	2     	5     	7     	9     	7     	9     	6     	7     	7     	7     	6     	2     	9     	2     	
Vardas23       Pavarde23      1     	8     	10    	8     	6     	10    	4     	3     	1     	3     	2     	5     	8     	10    	1     	2     	
Vardas24       Pavarde24      3     	1     	7     	8     	10    	2     	4     	8     	2     	2     	3     	9     	4     	8     	7     	8     	
Vardas25       Pavarde25      5     	4     	1     	9     	1     	5     	4     	5     	6     	2     	6     	4     	4     	10    	6     	3     	
Vardas26       Pavarde26      8     	5     	6     	2     	5     	9     	10    	5     	1     	1     	3     	4     	1     	4     	2     	2     	
Vardas27       Pavarde27      4     	3     	5     	6     	5     	2     	6     	1     	1     	4     	5     	9     	7     	9     	3     	1     	
Vardas28       Pavarde28      7     	10    	9     	6     	8     	5     	6     	9     	7     	8     	6     	10    	7     	4     	8     	4     	
Vardas29       Pavarde29      6     	2     	3     	6     	9     	5     	10    	4     	3     	10    	2     	7     	10    	1     	3     	5     	
Vardas30       Pavarde30      8     	3     	5     	1     	10    	7     	6     	6     	9     	6     	6     	3     	9     	6     	2     	7     	
Vardas31       Pavarde31      5     	2     	9     	5     	7     	6     	5     	10    	10    	10    	5     	1     	10    	1     	4     	1     	
Vardas32       Pavarde32      9     	4     	4     	2     	8     	5     	1     	4     	3     	4     	10    	7     	3     	8     	4     	5     	
Vardas33       Pavarde33      9     	6     	2     	2     	10    	2     	3     	5     	9     	5     	5     	1     	2     	9     	9     	4     	
Vardas34       Pavarde34      6     	2     	4     	1     	5     	3     	9     	5     	10    	8     	1     	4     	9     	5     	2     	10    	
Vardas35       Pavarde35      5     	10    	2     	1     	3     	9     	10    	6     	2     	7     	5     	3     	8     	10    	10    	3     	
Vardas36       Pavarde36      6     	5     	2     	3     	4     	5     	7     	5     	10    	10    	2     	3     	6     	5     	2     	8     	
Vardas37       Pavarde37      3     	7     	6     	7     	9     	3     	6     	2     	5     	7     	1     	8     	6     	10    	1     	7     	
Vardas38       Pavarde38      1     	3     	1     	6     	10    	9     	3     	6     	10    	5     	2     	2     	3     	3     	4     	7     	
Vardas39       Pavarde39      5     	3     	8     	5     	1     	5     	6     	5     	2     	6     	8     	2     	8     	7     	9     	6     	
