Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas1        Pavarde1       8     	7     	9     	10    	10    	3     	4     	1     	6     	10    	4     	7     	1     	1     	3     	4     	
Vardas2        Pavarde2       4     	9     	2     	7     	6     	5     	6     	10    	7     	1     	3     	5     	9     	1     	5     	9     	
Vardas3        Pavarde3       2     	3     	10    	4     	3     	8     	6     	2     	4     	6     	10    	3     	5     	10    	1     	1     	
Vardas4        Pavarde4       6     	6     	8     	5     	7     	7     	8     	4     	4     	7     	3     	2     	3     	9     	4     	4     	
Vardas5        Pavarde5       5     	8     	9     	10    	8     	10    	9     	2     	1     	8     	4     	4     	10    	4     	4     	10    	
Vardas6        Pavarde6       4     	4     	8     	8     	6     	1     	2     	5     	2     	5     	10    	4     	7     	6     	6     	6     	
Vardas7        Pavarde7       6     	10    	5     	2     	9     	3     	9     	7     	2     	9     	3     	10    	8     	2     	4     	8     	
Vardas8        Pavarde8       2     	5     	6     	10    	1     	10    	2     	4     	1     	6     	5     	5     	5     	3     	3     	6     	
Vardas9        Pavarde9       10    	3     	8     	4     	6     	5     	1     	10    	1     	9     	6     	1     	5     	6     	3     	6     	
Vardas10       Pavarde10      5     	8     	1     	8     	5     	4     	5     	4     	9     	3     	9     	1     	10    	5     	6     	8     	
Vardas11       Pavarde11      3     	6     	6     	5     	1     	3     	9     	5     	1     	5     	3     	1     	1     	4     	8     	5     	
Vardas12       Pavarde12      9     	3     	2     	2     	8     	9     	2     	6     	2     	10    	10    	8     	7     	4     	8     	2     	
Vardas13       Pavarde13      2     	4     	7     	8     	1     	4     	9     	3     	10    	4     	8     	9     	9     	6     	1     	6     	
Vardas14       Pavarde14      7     	2     	8     	4     	3     	8     	9     	2     	1     	2     	9     	9     	9     	10    	9     	7     	
Vardas15       Pavarde15      3     	5     	10    	9     	4     	10    	10    	6     	7     	6     	5     	5     	7     	10    	4     	8     	
Vardas16       Pavarde16      7     	7     	8     	5     	2     	1     	2     	9     	2     	1     	2     	5     	1     	3     	3     	6     	
Vardas17       Pavarde17      5     	2     	8     	10    	9     	5     	6     	10    	6     	6     	8     	8     	9     	9     	5     	3     	
Vardas18       Pavarde18      1     	2     	4     	1     	9     	1     	1     	2     	10    	1     	6     	9     	3     	10    	7     	7     	
Vardas19       Pavarde19      4     	4     	3     	8     	4     	7     	7     	7     	7     	3     	1     	2     	1     	4     	2     	9     	
Vardas20       Pavarde20      9     	8     	3     	1     	5     	7     	9     	3     	1     	7     	7     	4     	7     	5     	2     	4     	
Vardas21       Pavarde21      2     	4     	3     	7     	4     	2     	6     	8     	2     	9     	6     	5     	2     	2     	2     	10    	
Vardas22       Pavarde22      1     	3     	9     	2     	3     	3     	7     	6     	3     	8     	6     	6     	6     	4     	1     	10    	
Vardas23       Pavarde23      5     	2     	3     	1     	4     	2     	9     	9     	6     	1     	8     	3     	10    	5     	8     	1     	
Vardas24       Pavarde24      1     	3     	1     	6     	2     	7     	8     	5     	6     	4     	6     	4     	10    	5     	10    	1     	
Vardas25       Pavarde25      8     	3     	2     	4     	7     	3     	8     	1     	4     	6     	6     	3     	1     	4     	6     	1     	
Vardas26       Pavarde26      5     	7     	1     	8     	5     	1     	3     	2     	1     	5     	9     	9     	10    	4     	1     	4     	
Vardas27       Pavarde27      4     	4     	3     	8     	1     	2     	1     	2     	7     	6     	10    	7     	6     	10    	3     	9     	
Vardas28       Pavarde28      9     	3     	3     	9     	1     	8     	6     	3     	5     	5     	2     	8     	2     	1     	10    	1     	
Vardas29       Pavarde29      1     	9     	6     	4     	5     	10    	3     	10    	8     	10    	8     	4     	3     	10    	9     	4     	
Vardas30       Pavarde30      10    	9     	8     	6     	4     	2     	1     	9     	2     	1     	10    	2     	9     	1     	7     	8     	
Vardas31       Pavarde31      7     	4     	9     	4     	5     	1     	6     	5     	2     	7     	6     	7     	4     	2     	3     	2     	
Vardas32       Pavarde32      10    	3     	10    	1     	7     	10    	4     	1     	7     	3     	3     	2     	7     	6     	10    	3     	
Vardas33       Pavarde33      7     	3     	8     	4     	7     	10    	7     	9     	10    	5     	1     	6     	3     	1     	6     	4     	
Vardas34       Pavarde34      6     	3     	10    	3     	5     	9     	1     	6     	2     	6     	6     	2     	2     	7     	9     	10    	
Vardas35       Pavarde35      1     	2     	6     	6     	3     	7     	3     	7     	8     	1     	8     	4     	6     	6     	3     	8     	
Vardas36       Pavarde36      4     	7     	10    	1     	8     	7     	4     	8     	7     	4     	2     	5     	2     	2     	10    	10    	
Vardas37       Pavarde37      2     	8     	5     	8     	10    	1     	1     	9     	6     	10    	3     	6     	7     	10    	3     	4     	
Vardas38       Pavarde38      6     	10    	8     	2     	7     	6     	8     	4     	10    	6     	7     	8     	10    	8     	6     	9     	
Vardas39       Pavarde39      5     	4     	5     	3     	10    	9     	2     	1     	1     	4     	6     	8     	9     	5     	6     	7     	
Vardas40       Pavarde40      3     	7     	2     	8     	10    	4     	9     	9     	7     	8     	7     	8     	1     	8     	1     	3     	
Vardas41       Pavarde41      6     	4     	4     	8     	5     	5     	6     	4     	7     	7     	3     	2     	4     	3     	6     	1     	
Vardas42       Pavarde42      4     	4     	4     	10    	2     	8     	2     	6     	5     	7     	1     	2     	4     	2     	3     	1     	
Vardas43       Pavarde43      9     	8     	2     	5     	8     	1     	10    	4     	3     	4     	7     	7     	3     	7     	4     	9     	
Vardas44       Pavarde44      5     	8     	6     	6     	10    	6     	1     	1     	2     	1     	5     	9     	8     	6     	1     	2     	
Vardas45       Pavarde45      5     	2     	4     	10    	7     	10    	9     	8     	5     	7     	2     	6     	6     	7     	4     	5     	
Vardas46       Pavarde46      5     	1     	8     	4     	6     	5     	10    	10    	6     	8     	5     	7     	6     	6     	6     	1     	
Vardas47       Pavarde47      3     	2     	1     	6     	1     	4     	5     	3     	4     	9     	4     	7     	8     	8     	5     	1     	
Vardas48       Pavarde48      6     	9     	7     	4     	1     	9     	5     	8     	6     	10    	8     	3     	2     	3     	5     	1     	
Vardas49       Pavarde49      1     	5     	9     	8     	10    	2     	5     	2     	6     	5     	5     	3     	4     	8     	5     	7     	
Vardas50       Pavarde50      3     	1     	4     	3     	7     	7     	6     	8     	8     	7     	7     	5     	6     	2     	10    	2     	
Vardas51       Pavarde51      5     	10    	5     	7     	5     	5     	5     	7     	8     	1     	10    	2     	6     	3     	6     	6     	
Vardas52       Pavarde52      7     	8     	7     	9     	2     	7     	7     	8     	10    	9     	10    	6     	10    	7     	9     	3     	
Vardas53       Pavarde53      4     	2     	1     	3     	2     	6     	1     	8     	4     	9     	8     	3     	6     	6     	5     	6     	
Vardas54       Pavarde54      3     	10    	7     	5     	10    	4     	3     	3     	7     	9     	5     	8     	9     	8     	6     	7     	
Vardas55       Pavarde55      7     	7     	3     	5     	10    	5     	9     	5     	6     	7     	8     	6     	6     	2     	10    	8     	
Vardas56       Pavarde56      9     	3     	6     	2     	4     	10    	7     	2     	1     	2     	4     	6     	3     	2     	10    	8     	
Vardas57       Pavarde57      2     	8     	6     	5     	4     	5     	8     	8     	3     	4     	8     	1     	6     	7     	8     	5     	
Vardas58       Pavarde58      10    	9     	8     	7     	10    	9     	2     	2     	9     	8     	3     	9     	1     	4     	9     	5     	
Vardas59       Pavarde59      10    	7     	10    	2     	8     	1     	7     	8     	1     	7     	2     	4     	2     	7     	10    	10    	
Vardas60       Pavarde60      4     	3     	3     	3     	1     	4     	4     	2     	7     	2     	4     	9     	8     	3     	6     	4     	
Vardas61       Pavarde61      2     	7     	1     	9     	5     	1     	5     	2     	9     	4     	3     	6     	6     	7     	2     	10    	
Vardas62       Pavarde62      10    	10    	8     	4     	10    	6     	9     	4     	4     	7     	2     	3     	7     	9     	6     	10    	
Vardas63       Pavarde63      4     	7     	10    	3     	2     	8     	6     	2     	8     	5     	3     	10    	2     	5     	7     	4     	
Vardas64       Pavarde64      10    	10    	9     	9     	1     	10    	4     	5     	7     	7     	8     	3     	3     	8     	6     	7     	
Vardas65       Pavarde65      1     	4     	7     	10    	8     	9     	3     	5     	4     	2     	8     	8     	1     	2     	6     	4     	
Vardas66       Pavarde66      7     	10    	8     	8     	3     	8     	6     	7     	9     	9     	9     	4     	10    	7     	2     	3     	
Vardas67       Pavarde67      9     	1     	4     	2     	1     	5     	8     	6     	2     	4     	3     	7     	9     	1     	8     	3     	
Vardas68       Pavarde68      3     	1     	10    	5     	2     	8     	9     	2     	2     	9     	3     	2     	10    	6     	3     	5     	
Vardas69       Pavarde69      9     	7     	4     	5     	5     	3     	6     	7     	8     	10    	2     	8     	1     	4     	5     	1     	
Vardas70       Pavarde70      4     	1     	4     	5     	10    	5     	6     	7     	5     	6     	8     	10    	3     	2     	2     	7     	
Vardas71       Pavarde71      7     	3     	7     	9     	8     	1     	6     	6     	8     	3     	8     	10    	3     	9     	5     	4     	
Vardas72       Pavarde72      2     	8     	8     	9     	3     	2     	7     	7     	5     	2     	3     	8     	7     	8     	7     	4     	
Vardas73       Pavarde73      8     	1     	3     	10    	10    	10    	2     	6     	7     	10    	5     	3     	6     	4     	1     	10    	
Vardas74       Pavarde74      3     	4     	10    	4     	10    	3     	3     	1     	8     	9     	1     	6     	10    	5     	2     	5     	
Vardas75       Pavarde75      4     	9     	2     	8     	5     	7     	5     	1     	7     	6     	10    	8     	9     	10    	3     	9     	
Vardas76       Pavarde76      7     	8     	4     	6     	6     	10    	7     	4     	7     	10    	8     	8     	10    	2     	3     	5     	
Vardas77       Pavarde77      5     	6     	8     	10    	9     	5     	4     	4     	8     	3     	5     	7     	1     	1     	2     	9     	
Vardas78       Pavarde78      1     	5     	8     	10    	2     	2     	6     	5     	4     	3     	6     	10    	9     	5     	1     	3     	
Vardas79       Pavarde79      2     	1     	8     	2     	9     	1     	10    	6     	6     	3     	10    	6     	10    	3     	9     	9     	
Vardas80       Pavarde80      8     	8     	1     	7     	3     	5     	5     	7     	3     	4     	8     	2     	4     	8     	4     	4     	
Vardas81       Pavarde81      7     	7     	2     	6     	10    	4     	4     	1     	4     	10    	6     	4     	1     	2     	4     	6     	
Vardas82       Pavarde82      9     	1     	1     	10    	10    	5     	6     	7     	3     	3     	9     	2     	4     	5     	1     	5     	
Vardas83       Pavarde83      8     	5     	1     	10    	3     	8     	10    	9     	6     	6     	10    	7     	7     	9     	4     	6     	
Vardas84       Pavarde84      5     	3     	8     	10    	7     	8     	5     	9     	6     	9     	6     	10    	1     	7     	3     	5     	
Vardas85       Pavarde85      10    	2     	9     	4     	6     	6     	10    	8     	8     	6     	8     	9     	7     	9     	5     	5     	
Vardas86       Pavarde86      6     	2     	3     	1     	3     	9     	2     	1     	6     	7     	4     	5     	1     	7     	8     	10    	
Vardas87       Pavarde87      6     	3     	5     	10    	10    	1     	7     	2     	3     	6     	9     	1     	3     	7     	7     	1     	
Vardas88       Pavarde88      8     	5     	6     	1     	4     	7     	7     	9     	2     	1     	5     	4     	9     	7     	3     	7     	
Vardas89       Pavarde89      4     	1     	6     	8     	3     	10    	3     	2     	6     	1     	3     	8     	2     	10    	6     	4     	
Vardas90       Pavarde90      7     	9     	3     	2     	4     	7     	5     	5     	2     	3     	8     	7     	3     	7     	10    	6     	
Vardas91       Pavarde91      4     	9     	10    	7     	4     	4     	1     	3     	6     	5     	3     	9     	6     	1     	1     	4     	
Vardas92       Pavarde92      10    	1     	4     	2     	8     	7     	3     	7     	5     	3     	10    	1     	1     	10    	5     	10    	
Vardas93       Pavarde93      3     	1     	4     	3     	3     	2     	3     	10    	9     	5     	1     	5     	6     	6     	8     	7     	
Vardas94       Pavarde94      2     	8     	10    	2     	4     	9     	2     	3     	8     	4     	9     	2     	6     	6     	8     	6     	
Vardas95       Pavarde95      5     	2     	3     	5     	2     	10    	10    	2     	3     	9     	3     	7     	1     	5     	3     	4     	
Vardas96       Pavarde96      2     	10    	3     	9     	6     	6     	10    	1     	9     	3     	3     	9     	4     	10    	1     	6     	
Vardas97       Pavarde97      3     	4     	6     	2     	8     	10    	4     	4     	5     	5     	9     	1     	6     	3     	1     	4     	
Vardas98       Pavarde98      9     	3     	4     	2     	3     	6     	5     	6     	9     	3     	5     	10    	6     	3     	9     	3     	
Vardas99       Pavarde99      3     	8     	4     	3     	1     	8     	7     	10    	9     	2     	6     	10    	10    	1     	2     	10    	
Vardas100      Pavarde100     7     	7     	2     	6     	1     	2     	7     	1     	8     	2     	10    	1     	5     	8     	2     	4     	
Vardas101      Pavarde101     7     	8     	10    	1     	3     	9     	2     	5     	10    	2     	2     	7     	10    	8     	5     	2     	
Vardas102      Pavarde102     4     	5     	5     	3     	6     	5     	10    	3     	7     	3     	3     	1     	7     	3     	9     	9     	
Vardas103      Pavarde103     6     	8     	4     	10    	7     	3     	1     	3     	1     	4     	6     	7     	10    	3     	1     	5     	
Vardas104      Pavarde104     10    	7     	7     	7     	6     	3     	10    	4     	10    	7     	7     	2     	6     	4     	9     	4     	
